"Date","Cases_Count"
"2021-03-12",3
"2021-03-13",1
"2021-03-14",7
"2021-03-15",1
"2021-03-16",2
"2021-03-17",7
"2021-03-18",1
"2021-03-19",6
"2021-03-20",6
"2021-03-21",5
"2021-03-22",7
"2021-03-23",3
"2021-03-24",5
"2021-03-25",3
"2021-03-26",1
"2021-03-27",2
"2021-03-28",10
"2021-03-29",2
"2021-03-30",2
"2021-03-31",5
"2021-04-01",0
"2021-04-02",4
"2021-04-03",1
"2021-04-04",7
"2021-04-05",10
"2021-04-06",7
"2021-04-07",19
"2021-04-08",5
"2021-04-09",8
"2021-04-10",6
"2021-04-11",8
"2021-04-12",4
"2021-04-13",1
"2021-04-14",2
"2021-04-15",3
"2021-04-16",2
"2021-04-17",2
"2021-04-18",2
"2021-04-19",0
"2021-04-20",1
"2021-04-21",4
"2021-04-22",0
"2021-04-23",2
"2021-04-24",0
"2021-04-25",4
"2021-04-26",4
"2021-04-27",2
"2021-04-28",2
"2021-04-29",1
"2021-04-30",4
"2021-05-01",3
"2021-05-02",4
"2021-05-03",1
"2021-05-04",4
"2021-05-05",1
"2021-05-06",5
"2021-05-07",3
"2021-05-08",1
"2021-05-09",1
"2021-05-10",0
"2021-05-11",1
"2021-05-12",1
"2021-05-13",0
"2021-05-14",0
"2021-05-15",1
"2021-05-16",5
"2021-05-17",1
"2021-05-18",6
"2021-05-19",1
"2021-05-20",1
"2021-05-21",3
"2021-05-22",0
"2021-05-23",4
"2021-05-24",2
"2021-05-25",1
"2021-05-26",0
"2021-05-27",1
"2021-05-28",0
"2021-05-29",1
"2021-05-30",2
"2021-05-31",0
"2021-06-01",5
"2021-06-02",2
"2021-06-03",1
"2021-06-04",2
"2021-06-05",0
"2021-06-06",3
"2021-06-07",4
"2021-06-08",6
"2021-06-09",1
"2021-06-10",5
"2021-06-11",4
"2021-06-12",3
"2021-06-13",0
"2021-06-14",1
"2021-06-15",0
"2021-06-16",2
"2021-06-17",1
"2021-06-18",2
"2021-06-19",2
"2021-06-20",2
"2021-06-21",0
"2021-06-22",4
"2021-06-23",1
"2021-06-24",2
"2021-06-25",3
"2021-06-26",3
"2021-06-27",6
"2021-06-28",5
"2021-06-29",1
"2021-06-30",1
"2021-07-01",3
"2021-07-02",3
"2021-07-03",3
"2021-07-04",9
"2021-07-05",1
"2021-07-06",5
"2021-07-07",2
"2021-07-08",0
"2021-07-09",0
"2021-07-10",3
"2021-07-11",3
"2021-07-12",15
"2021-07-13",0
"2021-07-14",22
"2021-07-15",2
"2021-07-16",6
"2021-07-17",4
"2021-07-18",3
"2021-07-19",6
"2021-07-20",8
"2021-07-21",6
"2021-07-22",5
"2021-07-23",3
"2021-07-24",1
"2021-07-25",0
"2021-07-26",2
"2021-07-27",1
"2021-07-28",6
"2021-07-29",0
"2021-07-30",4
"2021-07-31",0
"2021-08-01",4
"2021-08-02",2
"2021-08-03",2
"2021-08-04",0
"2021-08-05",1
"2021-08-06",2
"2021-08-07",4
"2021-08-08",12
"2021-08-09",3
"2021-08-10",3
"2021-08-11",8
"2021-08-12",0
"2021-08-13",3
"2021-08-14",3
"2021-08-15",4
"2021-08-16",0
"2021-08-17",12
"2021-08-18",12
"2021-08-19",20
"2021-08-20",22
"2021-08-21",31
"2021-08-22",39
"2021-08-23",40
"2021-08-24",62
"2021-08-25",67
"2021-08-26",81
"2021-08-27",78
"2021-08-28",78
"2021-08-29",56
"2021-08-30",63
"2021-08-31",58
"2021-09-01",48
"2021-09-02",29
"2021-09-03",24
"2021-09-04",27
"2021-09-05",19
"2021-09-06",27
"2021-09-07",14
"2021-09-08",22
"2021-09-09",13
"2021-09-10",25
"2021-09-11",18
"2021-09-12",42
"2021-09-13",17
"2021-09-14",11
"2021-09-15",20
"2021-09-16",14
"2021-09-17",23
"2021-09-18",24
"2021-09-19",25
"2021-09-20",11
"2021-09-21",25
"2021-09-22",17
"2021-09-23",12
"2021-09-24",12
"2021-09-25",23
"2021-09-26",15
"2021-09-27",9
"2021-09-28",45
"2021-09-29",27
"2021-09-30",18
"2021-10-01",29
"2021-10-02",28
"2021-10-03",27
"2021-10-04",27
"2021-10-05",42
"2021-10-06",38
"2021-10-07",41
"2021-10-08",40
"2021-10-09",49
"2021-10-10",44
"2021-10-11",37
"2021-10-12",51
"2021-10-13",90
"2021-10-14",55
"2021-10-15",40
"2021-10-16",54
"2021-10-17",82
"2021-10-18",86
"2021-10-19",90
"2021-10-20",102
"2021-10-21",116
"2021-10-22",101
"2021-10-23",92
"2021-10-24",105
"2021-10-25",74
"2021-10-26",87
"2021-10-27",111
"2021-10-28",153
"2021-10-29",117
"2021-10-30",162
"2021-10-31",156
"2021-11-01",113
"2021-11-02",120
"2021-11-03",173
"2021-11-04",181
"2021-11-05",154
"2021-11-06",170
"2021-11-07",150
"2021-11-08",124
"2021-11-09",159
"2021-11-10",226
"2021-11-11",214
"2021-11-12",172
"2021-11-13",147
"2021-11-14",221
"2021-11-15",183
"2021-11-16",165
"2021-11-17",202
"2021-11-18",176
"2021-11-19",172
"2021-11-20",208
"2021-11-21",205
"2021-11-22",186
"2021-11-23",182
"2021-11-24",195
"2021-11-25",198
"2021-11-26",166
"2021-11-27",137
"2021-11-28",175
"2021-11-29",131
"2021-11-30",137
"2021-12-01",133
"2021-12-02",111
"2021-12-03",128
"2021-12-04",102
"2021-12-05",99
"2021-12-06",88
"2021-12-07",107
"2021-12-08",113
"2021-12-09",93
"2021-12-10",87
"2021-12-11",97
"2021-12-12",72
"2021-12-13",65
"2021-12-14",77
"2021-12-15",101
"2021-12-16",80
"2021-12-17",67
"2021-12-18",77
"2021-12-19",45
"2021-12-20",37
"2021-12-21",58
"2021-12-22",86
"2021-12-23",51
"2021-12-24",86
"2021-12-25",47
"2021-12-26",37
"2021-12-27",35
"2021-12-28",74
"2021-12-29",47
"2021-12-30",66
"2021-12-31",71
"2022-01-01",65
"2022-01-02",53
"2022-01-03",48
"2022-01-04",46
"2022-01-05",58
"2022-01-06",74
"2022-01-07",64
"2022-01-08",64
"2022-01-09",61
"2022-01-10",52
"2022-01-11",68
"2022-01-12",58
"2022-01-13",47
"2022-01-14",53
"2022-01-15",89
"2022-01-16",31
"2022-01-17",81
"2022-01-18",66
"2022-01-19",60
"2022-01-20",78
"2022-01-21",72
"2022-01-22",75
"2022-01-23",78
"2022-01-24",65
"2022-01-25",59
"2022-01-26",121
"2022-01-27",157
"2022-01-28",166
"2022-01-29",190
"2022-01-30",135
"2022-01-31",176
"2022-02-01",182
"2022-02-02",205
"2022-02-03",282
"2022-02-04",288
"2022-02-05",212
"2022-02-06",233
"2022-02-07",289
"2022-02-08",186
"2022-02-09",450
"2022-02-10",470
"2022-02-11",678
"2022-02-12",721
"2022-02-13",687
"2022-02-14",752
"2022-02-15",1192
"2022-02-16",1547
"2022-02-17",1909
"2022-02-18",1770
"2022-02-19",2513
"2022-02-20",2096
"2022-02-21",2850
"2022-02-22",3443
"2022-02-23",3962
"2022-02-24",5404
"2022-02-25",24324
"2022-02-26",12769
"2022-02-27",14590
"2022-02-28",19901
"2022-03-01",22239
"2022-03-02",23171
"2022-03-03",22536
"2022-03-04",18875
"2022-03-05",15241
"2022-03-06",17492
"2022-03-07",23941
"2022-03-08",22489
"2022-03-09",21030
"2022-03-10",21063
"2022-03-11",18729
"2022-03-12",14523
"2022-03-13",15591
"2022-03-14",21656
"2022-03-15",19513
"2022-03-16",19602
"2022-03-17",17108
"2022-03-18",15628
"2022-03-19",12041
"2022-03-20",14494
"2022-03-21",20973
"2022-03-22",20161
"2022-03-23",18499
"2022-03-24",15942
"2022-03-25",14202
"2022-03-26",10685
"2022-03-27",12547
"2022-03-28",17220
"2022-03-29",15993
"2022-03-30",15319
"2022-03-31",13561
"2022-04-01",11694
"2022-04-02",8853
"2022-04-03",10269
"2022-04-04",14221
"2022-04-05",12685
"2022-04-06",11745
"2022-04-07",10041
"2022-04-08",8595
"2022-04-09",6790
"2022-04-10",7684
"2022-04-11",11218
"2022-04-12",9588
"2022-04-13",9707
"2022-04-14",7896
"2022-04-15",5815
"2022-04-16",6010
"2022-04-17",6329
"2022-04-18",8455
"2022-04-19",11383
"2022-04-20",10413
"2022-04-21",9523
"2022-04-22",8052
"2022-04-23",5755
"2022-04-24",5784
"2022-04-25",6519
"2022-04-26",10049
"2022-04-27",9254
"2022-04-28",8418
"2022-04-29",7221
"2022-04-30",5828
"2022-05-01",6807
"2022-05-02",9332
"2022-05-03",8813
"2022-05-04",8871
"2022-05-05",7561
"2022-05-06",6927
"2022-05-07",5810
"2022-05-08",6553
"2022-05-09",9448
"2022-05-10",8209
"2022-05-11",9631
"2022-05-12",7630
"2022-05-13",7227
"2022-05-14",5913
"2022-05-15",7226
"2022-05-16",10095
"2022-05-17",9784
"2022-05-18",9362
"2022-05-19",8050
"2022-05-20",6857
"2022-05-21",5148
"2022-05-22",6150
"2022-05-23",8678
"2022-05-24",8395
"2022-05-25",7839
"2022-05-26",7124
"2022-05-27",6527
"2022-05-28",4961
"2022-05-29",5991
"2022-05-30",8709
"2022-05-31",8471
"2022-06-01",8133
"2022-06-02",6441
"2022-06-03",6503
"2022-06-04",4536
"2022-06-05",4556
"2022-06-06",5980
"2022-06-07",7338
"2022-06-08",8237
"2022-06-09",6540
"2022-06-10",5335
"2022-06-11",4570
"2022-06-12",4623
"2022-06-13",6426
"2022-06-14",5810
"2022-06-15",5702
"2022-06-16",5086
"2022-06-17",4577
"2022-06-18",3367
"2022-06-19",4193
"2022-06-20",5878
"2022-06-21",5763
"2022-06-22",5546
"2022-06-23",5041
"2022-06-24",4010
"2022-06-25",4613
"2022-06-26",5773
"2022-06-27",8377
"2022-06-28",8130
"2022-06-29",7860
"2022-06-30",7408
"2022-07-01",6825
"2022-07-02",5481
"2022-07-03",6584
"2022-07-04",9829
"2022-07-05",10560
"2022-07-06",10936
"2022-07-07",9566
"2022-07-08",9555
"2022-07-09",7769
"2022-07-10",8690
"2022-07-11",11846
"2022-07-12",11779
"2022-07-13",11710
"2022-07-14",10796
"2022-07-15",9526
"2022-07-16",6790
"2022-07-17",7705
"2022-07-18",10749
"2022-07-19",10681
"2022-07-20",10339
"2022-07-21",9056
"2022-07-22",8062
"2022-07-23",6126
"2022-07-24",7018
"2022-07-25",9678
"2022-07-26",9128
"2022-07-27",7931
"2022-07-28",7910
"2022-07-29",6464
"2022-07-30",4694
"2022-07-31",5331
"2022-08-01",7359
"2022-08-02",6704
"2022-08-03",6340
"2022-08-04",5501
"2022-08-05",4894
"2022-08-06",3647
"2022-08-07",4050
"2022-08-08",6112
"2022-08-09",5401
"2022-08-10",5004
"2022-08-11",4281
"2022-08-12",3720
"2022-08-13",2910
"2022-08-14",3419
"2022-08-15",4972
"2022-08-16",4664
"2022-08-17",4622
"2022-08-18",3894
"2022-08-19",3412
"2022-08-20",2333
"2022-08-21",2729
"2022-08-22",3819
"2022-08-23",3284
"2022-08-24",2899
"2022-08-25",2482
"2022-08-26",2271
"2022-08-27",1464
"2022-08-28",1694
"2022-08-29",2570
"2022-08-30",2345
"2022-08-31",2195
"2022-09-01",1890
"2022-09-02",1704
"2022-09-03",1155
"2022-09-04",1334
"2022-09-05",2136
"2022-09-06",1890
"2022-09-07",1735
"2022-09-08",1548
"2022-09-09",1463
"2022-09-10",1009
"2022-09-11",1189
"2022-09-12",2021
"2022-09-13",1596
"2022-09-14",1589
"2022-09-15",1325
"2022-09-16",1146
"2022-09-17",885
"2022-09-18",1022
"2022-09-19",1817
"2022-09-20",1622
"2022-09-21",1649
"2022-09-22",1540
"2022-09-23",1289
"2022-09-24",913
"2022-09-25",954
"2022-09-26",1256
"2022-09-27",1939
"2022-09-28",1660
"2022-09-29",1576
"2022-09-30",1446
"2022-10-01",927
"2022-10-02",1145
"2022-10-03",1797
"2022-10-04",1832
"2022-10-05",1764
"2022-10-06",1737
"2022-10-07",1541
"2022-10-08",1135
"2022-10-09",1380
"2022-10-10",2444
"2022-10-11",2213
"2022-10-12",2329
"2022-10-13",2174
"2022-10-14",1907
"2022-10-15",1469
"2022-10-16",1751
"2022-10-17",2923
"2022-10-18",2924
"2022-10-19",2635
"2022-10-20",2432
"2022-10-21",2195
"2022-10-22",1588
"2022-10-23",1638
"2022-10-24",2410
"2022-10-25",3923
"2022-10-26",3577
"2022-10-27",3171
"2022-10-28",2867
"2022-10-29",2142
"2022-10-30",2396
"2022-10-31",3856
"2022-11-01",3493
"2022-11-02",3329
"2022-11-03",3148
"2022-11-04",2718
"2022-11-05",1923
"2022-11-06",2313
"2022-11-07",3912
"2022-11-08",3570
"2022-11-09",3504
"2022-11-10",3179
"2022-11-11",2775
"2022-11-12",2106
"2022-11-13",2516
"2022-11-14",4284
"2022-11-15",3846
"2022-11-16",3683
"2022-11-17",2873
"2022-11-18",4327
"2022-11-19",2376
"2022-11-20",2655
"2022-11-21",4756
"2022-11-22",4588
"2022-11-23",4303
"2022-11-24",3915
"2022-11-25",3545
"2022-11-26",2714
"2022-11-27",3230
"2022-11-28",5994
"2022-11-29",5907
"2022-11-30",5826
"2022-12-01",5013
"2022-12-02",4543
"2022-12-03",3311
"2022-12-04",3906
"2022-12-05",7493
"2022-12-06",6709
"2022-12-07",6314
"2022-12-08",5604
"2022-12-09",5353
"2022-12-10",3848
"2022-12-11",4732
"2022-12-12",8443
"2022-12-13",7511
"2022-12-14",7086
"2022-12-15",6515
"2022-12-16",5315
"2022-12-17",3826
"2022-12-18",4010
"2022-12-19",6833
"2022-12-20",6131
"2022-12-21",5335
"2022-12-22",4654
"2022-12-23",4049
"2022-12-24",2815
"2022-12-25",2163
"2022-12-26",3255
"2022-12-27",3640
"2022-12-28",4577
"2022-12-29",3818
"2022-12-30",3311
"2022-12-31",2268
"2023-01-01",1870
"2023-01-02",2571
"2023-01-03",3089
"2023-01-04",4386
"2023-01-05",3586
"2023-01-06",3244
"2023-01-07",2347
"2023-01-08",2429
"2023-01-09",4037
"2023-01-10",3511
"2023-01-11",3091
"2023-01-12",2783
"2023-01-13",2433
"2023-01-14",1607
"2023-01-15",1710
"2023-01-16",3010
"2023-01-17",2585
"2023-01-18",2310
"2023-01-19",1948
"2023-01-20",1705
"2023-01-21",1060
"2023-01-22",1232
